architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
34x234,local_tsce,task_plus_reg,probe_lif_beta05_cap1,3,0.0,0.029019760616803465,0.07865582579467707,0.0,0.0,0.40098759296075404,0.0,1.0,,,0.0,0.008282983323507116,0.020555208743736824,0.0,0.0,0.005044909629960286,0.0,0.0,0.0,0.0
34x234,local_tsce,task_plus_reg,probe_lif_beta05_cap31,3,0.0,0.029019760616803465,0.07865582579467707,0.0,0.0,0.40098759296075404,0.0,1.0,,,0.0,0.008282983323507116,0.020555208743736824,0.0,0.0,0.005044909629960286,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_only,native_e2e_lif,3,9.228628230616302,0.30417853653125554,0.555417736213646,0.1441973161033797,143.07534246575344,0.4145543406229291,0.026238402915838305,0.0,,,0.24272492293666348,0.009883362134907892,0.010110155023630232,0.003792576920885367,3.7630675552543615,0.013632412585366037,0.002105038223445532,0.0,0.0,0.0
34x34,e2e_wc,task_only,native_w_analog_sum,3,,0.30417853653125554,,,,0.4145543406229291,,,,,0.0,0.009883362134907892,0.0,0.0,0.0,0.013632412585366037,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_only,probe_analog_sum,3,,0.037765681449044984,,,,0.4073383771445402,,,,,0.0,0.01094951624466281,0.0,0.0,0.0,0.004249968167091892,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_only,probe_bipolar_lif_beta05_cap1,3,0.00809955084308961,0.037765681449044984,0.052962519677123225,0.00012655548192327517,0.12557077625570776,0.4073383771445402,0.0,0.9360730593607306,0.17575757575757575,0.15757575757575756,0.01402883357871854,0.01094951624466281,0.012476991112935754,0.00021920052466747718,0.21749496442074945,0.004249968167091892,0.0,0.11072470915965427,0.3044210510272572,0.27292921816236854
34x34,e2e_wc,task_only,probe_if_beta1_cap1,3,1.6788159929313011,0.037765681449044984,1.2929091995578994,0.02623149988955158,26.027397260273972,0.4073383771445402,0.0,0.00228310502283105,,,0.4061958367049671,0.01094951624466281,0.24622012371237903,0.006346809948515111,6.297426550559543,0.004249968167091892,0.0,0.003954453898559081,0.0,0.0
34x34,e2e_wc,task_only,probe_lif_beta05_cap1,3,0.003828878580369634,0.037765681449044984,0.10082045297892384,5.982622781827553e-05,0.0593607305936073,0.4073383771445402,0.0,0.9611872146118721,,,0.006631812237212401,0.01094951624466281,0.02214606906260154,0.00010362206620644376,0.1028158013625361,0.004249968167091892,0.0,0.06722571627550437,0.0,0.0
34x34,e2e_wc,task_only,probe_lif_beta05_cap31,3,0.003828878580369634,0.037765681449044984,0.10082045297892384,5.982622781827553e-05,0.0593607305936073,0.4073383771445402,0.0,0.9611872146118721,,,0.006631812237212401,0.01094951624466281,0.02214606906260154,0.00010362206620644376,0.1028158013625361,0.004249968167091892,0.0,0.06722571627550437,0.0,0.0
34x34,e2e_wc,task_plus_reg,native_e2e_lif,3,8.492010897577497,0.3069883714533704,0.5763591596750464,0.1326876702746484,131.6552511415525,0.4209373389293867,0.02620158677564244,0.0,,,0.36072077658853446,0.007790879805979904,0.005615305916758907,0.005636262134195851,5.592407382247588,0.006376641652923466,0.002634762544955957,0.0,0.0,0.0
34x34,e2e_wc,task_plus_reg,native_w_analog_sum,3,,0.3069883714533704,,,,0.4209373389293867,,,,,0.0,0.007790879805979904,0.0,0.0,0.0,0.006376641652923466,0.0,0.0,0.0,0.0
