architecture,objective,profile,seed,shift,alpha,tau_syn_ms,tau_group,neuron_start,neuron_stop,neuron_count,n_test_samples,fs_hz,tail_stage1_steps,tail_stage2_steps,tail_stage3_steps,valid_firing_rate_hz,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz,tail_firing_rate_hz,valid_spikes_per_neuron_sample,tail_stage1_spikes_per_neuron_sample,tail_stage2_spikes_per_neuron_sample,tail_stage3_spikes_per_neuron_sample,tail_spikes_per_neuron_sample,tail_to_valid_rate_ratio,none_valid_firing_rate_hz,none_tail_stage1_firing_rate_hz,none_tail_stage2_firing_rate_hz,none_tail_stage3_firing_rate_hz,none_tail_firing_rate_hz,none_tail_to_valid_rate_ratio,delta_valid_firing_rate_hz_vs_none,pct_change_valid_firing_rate_hz_vs_none,delta_tail_stage1_firing_rate_hz_vs_none,pct_change_tail_stage1_firing_rate_hz_vs_none,delta_tail_stage2_firing_rate_hz_vs_none,pct_change_tail_stage2_firing_rate_hz_vs_none,delta_tail_stage3_firing_rate_hz_vs_none,pct_change_tail_stage3_firing_rate_hz_vs_none,delta_tail_firing_rate_hz_vs_none,pct_change_tail_firing_rate_hz_vs_none,delta_tail_to_valid_rate_ratio_vs_none,pct_change_tail_to_valid_rate_ratio_vs_none,tail_specific_suppression_pp,tail_stage1_specific_suppression_pp,tail_stage2_specific_suppression_pp,tail_stage3_specific_suppression_pp
short_mid_long,whole_count_ce,none,23,6,0.984375,992.1669944116244,long,86,107,21,146,64.0,13,13,12,6.271450661112689,10.677906568317526,10.08700888152943,9.382909328114808,10.066810862773371,8.102413568166993,2.1689497716894977,2.0489236790606653,1.7592954990215264,5.9771689497716896,1.605180588471265,6.271450661112689,10.677906568317526,10.08700888152943,9.382909328114808,10.066810862773371,1.605180588471265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,23,7,0.9921875,1992.177287539818,long,107,128,21,146,64.0,13,13,12,5.751901290668687,10.697174971147572,10.50288524261127,10.172646227440747,10.465066776530367,7.431180691454664,2.1728636660143508,2.133398564905414,1.90737116764514,6.213633398564905,1.8194100085667069,5.751901290668687,10.697174971147572,10.50288524261127,10.172646227440747,10.465066776530367,1.8194100085667069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,37,2,0.75,54.31342963722199,short_mid,0,22,22,146,64.0,13,13,12,1.7386589553587566,1.6890506753520451,0.9656097327330204,0.4217517642175176,1.0413580651504228,2.24626400996264,0.3430884184308841,0.1961394769613947,0.0790784557907845,0.6183063511830635,0.5989432613801756,1.7386589553587566,1.6890506753520451,0.9656097327330204,0.4217517642175176,1.0413580651504228,0.5989432613801756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,37,3,0.875,117.0136826471659,short_mid,22,44,22,146,64.0,13,13,12,3.615639496355202,4.54449659929112,2.7650158061116965,1.730178497301785,3.0469948220488954,4.671232876712328,0.9231008717310089,0.5616438356164384,0.3244084682440847,1.809153175591532,0.842726390482365,3.615639496355202,4.54449659929112,2.7650158061116965,1.730178497301785,3.0469948220488954,0.842726390482365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,37,4,0.9375,242.10347130039656,short_mid,44,65,21,146,64.0,13,13,12,4.847107829215185,6.822620302072357,5.536454413166742,3.858230050010872,5.446492944690493,6.262230919765166,1.3858447488584476,1.1245923026744944,0.7234181343770385,3.2338551859099804,1.1236583002883922,4.847107829215185,6.822620302072357,5.536454413166742,3.858230050010872,5.446492944690493,1.1236583002883922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,37,5,0.96875,492.1461612435418,short_mid,65,86,21,146,64.0,13,13,12,7.184575089147653,11.707160419489188,10.43384013247027,9.073276799304196,10.439798125450611,9.282126549249837,2.378016960208741,2.119373776908024,1.7012393998695368,6.198630136986301,1.453084976621651,7.184575089147653,11.707160419489188,10.43384013247027,9.073276799304196,10.439798125450611,1.453084976621651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,37,6,0.984375,992.1669944116244,long,86,107,21,146,64.0,13,13,12,6.7675218530089305,11.87897034472377,11.365146269255858,10.640574037834313,11.312115906203866,8.743313763861709,2.4129158512720155,2.308545335942596,1.9951076320939332,6.716568819308545,1.6715300152557837,6.7675218530089305,11.87897034472377,11.365146269255858,10.640574037834313,11.312115906203866,1.6715300152557837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,37,7,0.9921875,1992.177287539818,long,107,128,21,146,64.0,13,13,12,7.230521632112089,13.012594711224848,12.400822921370867,11.906936290497937,12.454149071308407,9.341487279843443,2.643183300717548,2.5189171559034573,2.2325505544683626,7.394651011089367,1.7224412988403517,7.230521632112089,13.012594711224848,12.400822921370867,11.906936290497937,12.454149071308407,1.7224412988403517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,a1,11,2,0.75,54.31342963722199,short_mid,0,22,22,146,64.0,13,13,12,0.1188023374902102,0.400038317846537,0.1103553980266309,0.0099626400996264,0.1777544733564921,0.1534869240348692,0.0812577833125778,0.0224159402241594,0.0018679950186799,0.1055417185554171,1.496220336330838,2.27820953069462,2.860044065523517,1.5710317080180094,0.8152760481527604,1.7733499377334994,0.7783963300306314,-2.15940719320441,-94.78527607361964,-2.46000574767698,-86.0128617363344,-1.4606763099913784,-92.97560975609755,-0.805313408053134,-98.77800407331976,-1.5955954643770072,-89.97634535777645,0.7178240063002066,92.21831843322782,-4.808930715843189,-8.772414337285241,-1.8096663175220868,3.992727999700122
short_mid_long,whole_count_ce,a1,11,3,0.875,117.0136826471659,short_mid,22,44,22,146,64.0,13,13,12,0.4385806373877944,1.2798160743366225,0.9502825941182106,0.3470319634703196,0.8725175329357017,0.5666251556662516,0.2599626400996264,0.1930261519302615,0.0650684931506849,0.5180572851805728,1.9894118858790808,3.851798301102476,4.392757927004502,2.7588849506657724,1.9975093399750932,3.0774070918267027,0.7989533332900313,-3.4132176637146814,-88.61361361361361,-3.1129418526678796,-70.86531751570132,-1.8086023565475617,-65.55555555555554,-1.6504773765047736,-82.62676641729011,-2.204889558891001,-71.6476401431249,1.1904585525890496,149.00226371005033,-16.965973470488706,-17.748296097912288,-23.058058058058066,-5.986847196323495
