seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
11,reset_l1,0.75,4,62.5,L1,pre_reset,0.743323926031989,0.10813706580162731,0.7638537152854763,0.09797323804749802,0.669231431935295,0.11268049911157599,128
11,reset_l1,0.75,4,62.5,L2,spike50,0.7462354693109067,0.09843994566815788,0.853261467883286,0.06012825580056068,0.5148632090292207,0.0996263146069763,128
11,reset_l1,0.75,4,62.5,L2,syn_current,0.843738435324643,0.11243628295248778,0.8727469660552685,0.07984671435153284,0.5378748417200545,0.11685944769805508,128
11,reset_l1,0.75,4,62.5,L2,pre_reset,0.8798189524578461,0.09097969563091832,0.8984705561856196,0.06792387575812761,0.489685413873629,0.11863740630330477,128
11,reset_l1,0.75,8,125.0,L1,spike50,0.5982284752142798,0.1859463767653372,0.6213572572643199,0.18653656224874957,0.8376346637898979,0.14208247319056366,103
11,reset_l1,0.75,8,125.0,L1,syn_current,0.8877802483275901,0.06342120807171905,0.898954991903411,0.05763491916392837,0.49556087485660216,0.11255003047733339,128
11,reset_l1,0.75,8,125.0,L1,pre_reset,0.8661350252849729,0.0650680929362873,0.8796172850125401,0.05905072063263335,0.5052659917424636,0.10090386570887666,128
11,reset_l1,0.75,8,125.0,L2,spike50,0.5525799811466671,0.15960629328549358,0.7239430609033501,0.10555479843135068,0.6798116816999222,0.11875622741889003,128
11,reset_l1,0.75,8,125.0,L2,syn_current,0.7414516617035016,0.16619766070625308,0.7794738702487685,0.13424834128872218,0.6624226164820588,0.13491566726357096,128
11,reset_l1,0.75,8,125.0,L2,pre_reset,0.7725116788443502,0.15153144766104512,0.7987972209497523,0.1282362459874889,0.643605877940947,0.1333133538501719,128
11,reset_l1,0.75,16,250.0,L1,spike50,0.8055287557057716,0.11232793871500951,0.8157558790899971,0.11312141323013253,0.6332644456565742,0.17347459531547496,96
11,reset_l1,0.75,16,250.0,L1,syn_current,0.9635207579488572,0.023319718893552614,0.96823307768229,0.01989183176124584,0.30856045736693155,0.09109550225266612,101
11,reset_l1,0.75,16,250.0,L1,pre_reset,0.9508574701598332,0.024581404533768596,0.9571764132951412,0.020908364629220227,0.31769662076731564,0.07621559134694288,101
11,reset_l1,0.75,16,250.0,L2,spike50,0.48879169305920667,0.2153319360534543,0.6982649329765607,0.14861498254400451,0.7016040527450101,0.15606095226193317,101
11,reset_l1,0.75,16,250.0,L2,syn_current,0.676697721295079,0.2061283437388909,0.7392207249773202,0.16071799440241866,0.692039185532757,0.15001056789668055,101
11,reset_l1,0.75,16,250.0,L2,pre_reset,0.6751253804835315,0.20408185487440456,0.7212101042494841,0.1728749830721865,0.7135525515567631,0.14839262412165766,101
11,reset_l1,0.75,32,500.0,L1,spike50,0.961940156372185,0.03805984362781484,0.9635863249727652,0.03641367502723464,0.19867985355971096,0.19867985355971096,2
11,reset_l1,0.75,32,500.0,L1,syn_current,0.9971615164201176,0.0006863873808767851,0.9975762429537762,0.0006249710695007682,0.10440657543942175,0.02454833547002789,2
11,reset_l1,0.75,32,500.0,L1,pre_reset,0.990304874034788,0.001012667809056178,0.9917656490245363,0.0011297552188236915,0.13281031437840118,0.011816239901727608,2
