seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
23,reset_both,0.5,2,31.25,L2,syn_current,0.1985063262359206,0.36128010011033346,0.19884630195562167,0.33053325857514465,0.9949696939074194,0.03977968647034491,17
23,reset_both,0.5,2,31.25,L2,pre_reset,0.1598052812091011,0.3679134380432119,0.1652923131023473,0.34785223234439566,0.9958562079892881,0.033868551177824606,17
23,reset_both,0.5,4,62.5,L1,spike50,0.3522584566120342,0.18948616115888914,0.3858972656093825,0.18767249769946157,0.9690633765281199,0.05454954129975669,58
23,reset_both,0.5,4,62.5,L1,syn_current,0.7605977690085775,0.11249509694655636,0.77618342137482,0.10617434722415874,0.6803060368918449,0.12213262467680931,128
23,reset_both,0.5,4,62.5,L1,pre_reset,0.7169754742501346,0.11413766427840218,0.7327731451682584,0.10867432897837197,0.7187871058662086,0.10988763180220487,128
23,reset_both,0.5,4,62.5,L2,spike50,0.12810970615425948,0.2102813222117815,0.317591008830653,0.18490886802517484,0.989003206031505,0.0366164843985707,27
23,reset_both,0.5,4,62.5,L2,syn_current,0.23908980458209414,0.3241045629936927,0.27186630011506885,0.29805936917375386,0.980484555720982,0.05448166725859305,58
23,reset_both,0.5,4,62.5,L2,pre_reset,0.2055021701237481,0.32626274072950173,0.23333090836107287,0.3092228325064004,0.986272791493517,0.04529988783050944,58
23,reset_both,0.5,8,125.0,L1,spike50,0.626848237566312,0.16618732264381442,0.651138220807944,0.16659190435191853,0.8329798315140482,0.15574035488570845,98
23,reset_both,0.5,8,125.0,L1,syn_current,0.886690626529562,0.06470242848215331,0.8947203988175922,0.06090099790433772,0.5144297851033506,0.12428824443244613,128
23,reset_both,0.5,8,125.0,L1,pre_reset,0.8608820411050165,0.0693676031839645,0.8685314901417105,0.0657358591655101,0.5415474060605499,0.11405347194111774,128
