variant,l1_init,topology,fusion,architecture_case,seed,layer,dead_neuron_fraction,mean_events_per_neuron_s,mean_events_per_neuron_step,nonzero_fraction,post_valid_event_fraction
original,pretrained_trainable,dense,on,D,37,l1,0.0078125,6.049154334038055,0.0945180364693446,0.0945180364693446,0.06119696134233204
original,pretrained_trainable,dense,on,D,37,readout,0.0234375,29.110112755461593,0.4548455118040874,0.4548455118040874,0.6318955943274641
original,pretrained_trainable,dense,on,D,37,rsnn,0.0,26.63838971106413,0.416224839235377,0.416224839235377,0.6574533962143038
postencode_mask,pretrained_trainable,dense,on,D,37,l1,0.0546875,4.571764153159502,0.07143381489311722,0.07143381489311722,0.01639385688384052
postencode_mask,pretrained_trainable,dense,on,D,37,readout,0.0234375,26.557053089029832,0.41495395451609113,0.41495395451609113,0.6591731464795717
postencode_mask,pretrained_trainable,dense,on,D,37,rsnn,0.0078125,24.19482616866338,0.3780441588853653,0.3780441588853653,0.6734875430737969
original,pretrained_frozen,ff,off,A,11,l1,0.0390625,4.6915961945031714,0.07330619053911205,0.07330619053911205,0.06471270019668446
original,pretrained_frozen,ff,off,A,11,readout,0.0,28.308022081277894,0.4423128450199671,0.4423128450199671,0.1475430999799278
original,pretrained_frozen,ff,off,A,11,rsnn,0.0,28.308022081277894,0.4423128450199671,0.4423128450199671,0.1475430999799278
postencode_mask,pretrained_frozen,ff,off,A,11,l1,0.0390625,3.836827578106648,0.05995043090791637,0.05995043090791637,0.016483888692353434
postencode_mask,pretrained_frozen,ff,off,A,11,readout,0.0078125,24.400604886070003,0.3812594513448438,0.3812594513448438,0.07119600753337767
postencode_mask,pretrained_frozen,ff,off,A,11,rsnn,0.0078125,24.400604886070003,0.3812594513448438,0.3812594513448438,0.07119600753337767
original,pretrained_frozen,ff,off,A,23,l1,0.0390625,5.116044162555791,0.07993819003993423,0.07993819003993423,0.06876610118761291
original,pretrained_frozen,ff,off,A,23,readout,0.015625,27.97797744890768,0.4371558976391825,0.4371558976391825,0.13541544735144317
original,pretrained_frozen,ff,off,A,23,rsnn,0.015625,27.97797744890768,0.4371558976391825,0.4371558976391825,0.13541544735144317
postencode_mask,pretrained_frozen,ff,off,A,23,l1,0.0234375,3.8422010805731737,0.06003439188395584,0.06003439188395584,0.016542528804744046
postencode_mask,pretrained_frozen,ff,off,A,23,readout,0.0,25.221723044397464,0.3940894225687104,0.3940894225687104,0.06903615358853386
postencode_mask,pretrained_frozen,ff,off,A,23,rsnn,0.0,25.221723044397464,0.3940894225687104,0.3940894225687104,0.06903615358853386
original,pretrained_frozen,ff,off,A,37,l1,0.0234375,4.790139769790932,0.07484593390298332,0.07484593390298332,0.06391195322228024
original,pretrained_frozen,ff,off,A,37,readout,0.0078125,28.109907211651397,0.43921730018205307,0.43921730018205307,0.13690606061152474
original,pretrained_frozen,ff,off,A,37,rsnn,0.0078125,28.109907211651397,0.43921730018205307,0.43921730018205307,0.13690606061152474
postencode_mask,pretrained_frozen,ff,off,A,37,l1,0.0390625,3.4774195442800093,0.054334680379375146,0.054334680379375146,0.015986572608453608
postencode_mask,pretrained_frozen,ff,off,A,37,readout,0.03125,23.968522433638714,0.3745081630256049,0.3745081630256049,0.06549327459503893
postencode_mask,pretrained_frozen,ff,off,A,37,rsnn,0.03125,23.968522433638714,0.3745081630256049,0.3745081630256049,0.06549327459503893
original,pretrained_frozen,ff,on,C,11,l1,0.0390625,4.6915961945031714,0.07330619053911205,0.07330619053911205,0.06471270019668446
original,pretrained_frozen,ff,on,C,11,readout,0.0,29.15439276485788,0.4555373869509044,0.4555373869509044,0.20718552546370786
original,pretrained_frozen,ff,on,C,11,rsnn,0.0,16.635012919896642,0.25992207687338503,0.25992207687338503,0.13240793773794685
postencode_mask,pretrained_frozen,ff,on,C,11,l1,0.0390625,3.836827578106648,0.05995043090791637,0.05995043090791637,0.016483888692353434
postencode_mask,pretrained_frozen,ff,on,C,11,readout,0.0,25.78071411792342,0.40282365809255344,0.40282365809255344,0.12904668988579246
postencode_mask,pretrained_frozen,ff,on,C,11,rsnn,0.0,14.705661263800799,0.22977595724688749,0.22977595724688749,0.053701838684748045
original,pretrained_frozen,ff,on,C,23,l1,0.0390625,5.116044162555791,0.07993819003993423,0.07993819003993423,0.06876610118761291
original,pretrained_frozen,ff,on,C,23,readout,0.0,28.701256753582335,0.448457136774724,0.448457136774724,0.19294111430189756
original,pretrained_frozen,ff,on,C,23,rsnn,0.0078125,16.99277660324172,0.26551213442565186,0.26551213442565186,0.11913274974770653
postencode_mask,pretrained_frozen,ff,on,C,23,l1,0.0234375,3.8422010805731737,0.06003439188395584,0.06003439188395584,0.016542528804744046
postencode_mask,pretrained_frozen,ff,on,C,23,readout,0.0078125,25.252906976744185,0.3945766715116279,0.3945766715116279,0.13049636785513885
postencode_mask,pretrained_frozen,ff,on,C,23,rsnn,0.0,14.162585153864224,0.2212903930291285,0.2212903930291285,0.052252546112989844
original,pretrained_frozen,ff,on,C,37,l1,0.0234375,4.790139769790932,0.07484593390298332,0.07484593390298332,0.06391195322228024
original,pretrained_frozen,ff,on,C,37,readout,0.0,29.202842377260982,0.45629441214470284,0.45629441214470284,0.18962756660607064
original,pretrained_frozen,ff,on,C,37,rsnn,0.0078125,16.272198731501057,0.254253105179704,0.254253105179704,0.12899575316155276
postencode_mask,pretrained_frozen,ff,on,C,37,l1,0.0390625,3.4774195442800093,0.054334680379375146,0.054334680379375146,0.015986572608453608
postencode_mask,pretrained_frozen,ff,on,C,37,readout,0.0,25.22847662673244,0.3941949472926944,0.3941949472926944,0.10790238209452374
postencode_mask,pretrained_frozen,ff,on,C,37,rsnn,0.046875,14.497885835095138,0.22652946617336153,0.22652946617336153,0.042946640408144277
original,pretrained_frozen,diagonal,off,B,11,l1,0.0390625,4.6915961945031714,0.07330619053911205,0.07330619053911205,0.06471270019668446
original,pretrained_frozen,diagonal,off,B,11,readout,0.0078125,28.48408503641062,0.4450638286939159,0.4450638286939159,0.5836765664584737
original,pretrained_frozen,diagonal,off,B,11,rsnn,0.0078125,28.48408503641062,0.4450638286939159,0.4450638286939159,0.5836765664584737
postencode_mask,pretrained_frozen,diagonal,off,B,11,l1,0.0390625,3.836827578106648,0.05995043090791637,0.05995043090791637,0.016483888692353434
postencode_mask,pretrained_frozen,diagonal,off,B,11,readout,0.0078125,25.340292459478505,0.39594206967935164,0.39594206967935164,0.6667468595414718
postencode_mask,pretrained_frozen,diagonal,off,B,11,rsnn,0.0078125,25.340292459478505,0.39594206967935164,0.39594206967935164,0.6667468595414718
original,pretrained_frozen,diagonal,off,B,23,l1,0.0390625,5.116044162555791,0.07993819003993423,0.07993819003993423,0.06876610118761291
original,pretrained_frozen,diagonal,off,B,23,readout,0.0,28.77595724688748,0.44962433198261686,0.44962433198261686,0.6336829813304267
original,pretrained_frozen,diagonal,off,B,23,rsnn,0.0,28.77595724688748,0.44962433198261686,0.44962433198261686,0.6336829813304267
postencode_mask,pretrained_frozen,diagonal,off,B,23,l1,0.0234375,3.8422010805731737,0.06003439188395584,0.06003439188395584,0.016542528804744046
postencode_mask,pretrained_frozen,diagonal,off,B,23,readout,0.0078125,25.255960770495655,0.3946243870389946,0.3946243870389946,0.543944029395702
postencode_mask,pretrained_frozen,diagonal,off,B,23,rsnn,0.0078125,25.255960770495655,0.3946243870389946,0.3946243870389946,0.543944029395702
original,pretrained_frozen,diagonal,off,B,37,l1,0.0234375,4.790139769790932,0.07484593390298332,0.07484593390298332,0.06391195322228024
original,pretrained_frozen,diagonal,off,B,37,readout,0.0078125,29.382252760159737,0.4590976993774959,0.4590976993774959,0.6423257501425311
original,pretrained_frozen,diagonal,off,B,37,rsnn,0.0078125,29.382252760159737,0.4590976993774959,0.4590976993774959,0.6423257501425311
postencode_mask,pretrained_frozen,diagonal,off,B,37,l1,0.0390625,3.4774195442800093,0.054334680379375146,0.054334680379375146,0.015986572608453608
postencode_mask,pretrained_frozen,diagonal,off,B,37,readout,0.0234375,25.53990486257928,0.39906101347780126,0.39906101347780126,0.6625353988120665
postencode_mask,pretrained_frozen,diagonal,off,B,37,rsnn,0.0234375,25.53990486257928,0.39906101347780126,0.39906101347780126,0.6625353988120665
original,pretrained_frozen,diagonal,on,D,11,l1,0.0390625,4.6915961945031714,0.07330619053911205,0.07330619053911205,0.06471270019668446
original,pretrained_frozen,diagonal,on,D,11,readout,0.0,28.834625322997415,0.4505410206718346,0.4505410206718346,0.6021935437349631
original,pretrained_frozen,diagonal,on,D,11,rsnn,0.0,15.490662438336857,0.2420416005990134,0.2420416005990134,0.38559600855774906
postencode_mask,pretrained_frozen,diagonal,on,D,11,l1,0.0390625,3.836827578106648,0.05995043090791637,0.05995043090791637,0.016483888692353434
postencode_mask,pretrained_frozen,diagonal,on,D,11,readout,0.0,25.770701198026778,0.4026672062191684,0.4026672062191684,0.6080750262132679
postencode_mask,pretrained_frozen,diagonal,on,D,11,rsnn,0.0,14.185488607000234,0.22164825948437866,0.22164825948437866,0.29990131107011553
original,pretrained_frozen,diagonal,on,D,23,l1,0.0390625,5.116044162555791,0.07993819003993423,0.07993819003993423,0.06876610118761291
original,pretrained_frozen,diagonal,on,D,23,readout,0.0,28.11275546159267,0.43926180408738547,0.43926180408738547,0.5816058440094184
original,pretrained_frozen,diagonal,on,D,23,rsnn,0.0234375,17.018264035705897,0.26591037555790464,0.26591037555790464,0.3102058644653201
postencode_mask,pretrained_frozen,diagonal,on,D,23,l1,0.0234375,3.8422010805731737,0.06003439188395584,0.06003439188395584,0.016542528804744046
postencode_mask,pretrained_frozen,diagonal,on,D,23,readout,0.0,24.300622504110876,0.37969722662673244,0.37969722662673244,0.5421703676657704
postencode_mask,pretrained_frozen,diagonal,on,D,23,rsnn,0.015625,14.129786234437397,0.22077790991308432,0.22077790991308432,0.1944030562875214
original,pretrained_frozen,diagonal,on,D,37,l1,0.0234375,4.790139769790932,0.07484593390298332,0.07484593390298332,0.06391195322228024
original,pretrained_frozen,diagonal,on,D,37,readout,0.0,29.29598308668076,0.4577497357293869,0.4577497357293869,0.6043568554407357
original,pretrained_frozen,diagonal,on,D,37,rsnn,0.0078125,17.21074113225276,0.2689178301914494,0.2689178301914494,0.36257623476392237
postencode_mask,pretrained_frozen,diagonal,on,D,37,l1,0.0390625,3.4774195442800093,0.054334680379375146,0.054334680379375146,0.015986572608453608
postencode_mask,pretrained_frozen,diagonal,on,D,37,readout,0.0,25.061721869861405,0.39158940421658445,0.39158940421658445,0.4811291963995861
postencode_mask,pretrained_frozen,diagonal,on,D,37,rsnn,0.0234375,14.859584214235378,0.23218100334742778,0.23218100334742778,0.15466376679412075
original,pretrained_frozen,dense,off,B,11,l1,0.0390625,4.6915961945031714,0.07330619053911205,0.07330619053911205,0.06471270019668446
original,pretrained_frozen,dense,off,B,11,readout,0.0,26.782006107587502,0.4184688454310547,0.4184688454310547,0.660320258787155
original,pretrained_frozen,dense,off,B,11,rsnn,0.0,26.782006107587502,0.4184688454310547,0.4184688454310547,0.660320258787155
postencode_mask,pretrained_frozen,dense,off,B,11,l1,0.0390625,3.836827578106648,0.05995043090791637,0.05995043090791637,0.016483888692353434
postencode_mask,pretrained_frozen,dense,off,B,11,readout,0.0078125,23.677912849424477,0.36996738827225745,0.36996738827225745,0.6744468371836517
postencode_mask,pretrained_frozen,dense,off,B,11,rsnn,0.0078125,23.677912849424477,0.36996738827225745,0.36996738827225745,0.6744468371836517
original,pretrained_frozen,dense,off,B,23,l1,0.0390625,5.116044162555791,0.07993819003993423,0.07993819003993423,0.06876610118761291
original,pretrained_frozen,dense,off,B,23,readout,0.0078125,26.943534178999297,0.420992721546864,0.420992721546864,0.6538192949765846
original,pretrained_frozen,dense,off,B,23,rsnn,0.0078125,26.943534178999297,0.420992721546864,0.420992721546864,0.6538192949765846
postencode_mask,pretrained_frozen,dense,off,B,23,l1,0.0234375,3.8422010805731737,0.06003439188395584,0.06003439188395584,0.016542528804744046
postencode_mask,pretrained_frozen,dense,off,B,23,readout,0.0,24.41804674653512,0.3815319804146112,0.3815319804146112,0.6781603011955867
postencode_mask,pretrained_frozen,dense,off,B,23,rsnn,0.0,24.41804674653512,0.3815319804146112,0.3815319804146112,0.6781603011955867
original,pretrained_frozen,dense,off,B,37,l1,0.0234375,4.790139769790932,0.07484593390298332,0.07484593390298332,0.06391195322228024
original,pretrained_frozen,dense,off,B,37,readout,0.015625,29.368657505285412,0.45888527352008457,0.45888527352008457,0.656302136077934
original,pretrained_frozen,dense,off,B,37,rsnn,0.015625,29.368657505285412,0.45888527352008457,0.45888527352008457,0.656302136077934
postencode_mask,pretrained_frozen,dense,off,B,37,l1,0.0390625,3.4774195442800093,0.054334680379375146,0.054334680379375146,0.015986572608453608
postencode_mask,pretrained_frozen,dense,off,B,37,readout,0.0078125,25.073291050035238,0.3917701726568006,0.3917701726568006,0.6807472769548105
postencode_mask,pretrained_frozen,dense,off,B,37,rsnn,0.0078125,25.073291050035238,0.3917701726568006,0.3917701726568006,0.6807472769548105
original,pretrained_frozen,dense,on,D,11,l1,0.0390625,4.6915961945031714,0.07330619053911205,0.07330619053911205,0.06471270019668446
original,pretrained_frozen,dense,on,D,11,readout,0.0,29.71499882546394,0.46429685664787407,0.46429685664787407,0.6437811281516236
original,pretrained_frozen,dense,on,D,11,rsnn,0.0078125,23.43628141883956,0.3661918971693681,0.3661918971693681,0.6435369847584109
postencode_mask,pretrained_frozen,dense,on,D,11,l1,0.0390625,3.836827578106648,0.05995043090791637,0.05995043090791637,0.016483888692353434
postencode_mask,pretrained_frozen,dense,on,D,11,readout,0.0078125,25.711299036880433,0.40173904745125677,0.40173904745125677,0.6618071117434996
postencode_mask,pretrained_frozen,dense,on,D,11,rsnn,0.0234375,21.175974864928353,0.3308746072645055,0.3308746072645055,0.6733945510884146
original,pretrained_frozen,dense,on,D,23,l1,0.0390625,5.116044162555791,0.07993819003993423,0.07993819003993423,0.06876610118761291
original,pretrained_frozen,dense,on,D,23,readout,0.015625,26.7417782475922,0.41784028511862814,0.41784028511862814,0.660033589077689
original,pretrained_frozen,dense,on,D,23,rsnn,0.0390625,22.182845900869157,0.3466069672010806,0.3466069672010806,0.6343317031047916
postencode_mask,pretrained_frozen,dense,on,D,23,l1,0.0234375,3.8422010805731737,0.06003439188395584,0.06003439188395584,0.016542528804744046
postencode_mask,pretrained_frozen,dense,on,D,23,readout,0.0078125,24.344050974864928,0.3803757964822645,0.3803757964822645,0.6557824705277642
postencode_mask,pretrained_frozen,dense,on,D,23,rsnn,0.015625,19.48637538172422,0.3044746153394409,0.3044746153394409,0.6759113022873758
original,pretrained_frozen,dense,on,D,37,l1,0.0234375,4.790139769790932,0.07484593390298332,0.07484593390298332,0.06391195322228024
original,pretrained_frozen,dense,on,D,37,readout,0.0078125,29.80869743951139,0.4657608974923655,0.4657608974923655,0.6452077276924356
original,pretrained_frozen,dense,on,D,37,rsnn,0.0234375,25.63783180643646,0.4005911219755697,0.4005911219755697,0.6481073602187959
postencode_mask,pretrained_frozen,dense,on,D,37,l1,0.0390625,3.4774195442800093,0.054334680379375146,0.054334680379375146,0.015986572608453608
postencode_mask,pretrained_frozen,dense,on,D,37,readout,0.0078125,25.61718933521259,0.4002685833626967,0.4002685833626967,0.6665931638564899
postencode_mask,pretrained_frozen,dense,on,D,37,rsnn,0.0,21.327313836034765,0.3332392786880432,0.3332392786880432,0.6762315671135151
