architecture,routing,seed,sample_index,label,routing_disagreement_rate,oracle_true_class_margin,predicted_true_class_margin,margin_delta_pred_minus_oracle
rsnn64_progress,hard,53,103,5,0.6442307692307693,2.6550344322602086,1.4819698535416137,-1.173064578718595
rsnn64_progress,hard,53,104,4,0.7641509433962265,1.3457715761836653,-0.15067052913792622,-1.4964421053215915
rsnn64_progress,hard,53,105,1,0.7878787878787878,-0.8994854127279268,-0.9914610138402615,-0.09197560111233472
rsnn64_progress,hard,53,106,11,0.9491525423728814,3.3297430981153866,-0.9702512112432942,-4.299994309358681
rsnn64_progress,hard,53,107,4,0.6989247311827957,0.9772947587726435,0.9386961285421194,-0.03859863023052412
rsnn64_progress,hard,53,108,2,0.7857142857142857,0.6223469061133073,-0.7639173212969581,-1.3862642274102654
rsnn64_progress,hard,53,109,7,0.9791666666666666,1.4803715548459877,-0.28432514262067343,-1.7646966974666611
rsnn64_progress,hard,53,110,3,0.8571428571428571,-1.0924020133115846,0.1117435869571537,1.2041456002687383
rsnn64_progress,hard,53,111,6,0.6818181818181818,2.1696625463715886,1.2023318768260651,-0.9673306695455235
rsnn64_progress,hard,53,112,0,0.7160493827160493,1.575321274147976,0.638396745714358,-0.9369245284336181
rsnn64_progress,hard,53,113,9,0.7105263157894737,0.8240587454158685,-1.4610215057307414,-2.28508025114661
rsnn64_progress,hard,53,114,6,0.9078947368421053,-0.46656823002581405,-2.597937247565824,-2.1313690175400097
rsnn64_progress,hard,53,115,4,0.6987951807228916,-0.9333777982107563,-0.7416563803665213,0.19172141784423502
rsnn64_progress,hard,53,116,3,0.5757575757575758,-0.9205804520851615,-2.0358178392038297,-1.1152373871186683
rsnn64_progress,hard,53,117,8,0.9782608695652174,-1.1421792167661806,-0.5272726340699592,0.6149065826962214
rsnn64_progress,hard,53,118,7,1.0,-0.13979914002356963,-0.4143759424514428,-0.2745768024278732
rsnn64_progress,hard,53,119,1,0.5977011494252874,0.5994259904609862,-1.0867680662727253,-1.6861940567337115
rsnn64_progress,hard,53,120,11,0.9272727272727272,1.1243563904311031,-2.01699092847025,-3.141347318901353
rsnn64_progress,hard,53,121,9,0.6521739130434783,1.7535153565283288,3.9012670909335156,2.147751734405187
rsnn64_progress,hard,53,122,2,0.8113207547169812,1.3733134139056347,-0.35543474150154,-1.7287481554071746
rsnn64_progress,hard,53,123,10,0.8490566037735849,-1.6065355668931716,-3.184607504399537,-1.5780719375063654
rsnn64_progress,hard,53,124,8,0.8928571428571429,0.2748617590518734,0.9283265086887695,0.6534647496368962
rsnn64_progress,hard,53,125,1,0.8795180722891566,-3.344785641595081,-2.760672165220967,0.5841134763741138
rsnn64_progress,hard,53,126,11,0.9538461538461539,1.0238659951755835,0.19139699687275424,-0.8324689983028293
rsnn64_progress,hard,53,127,4,0.8170731707317073,0.46941972880335925,0.22605102129085708,-0.24336870751250217
rsnn64_progress,hard,53,128,5,0.7037037037037037,1.2055908253375378,-0.016933074044914065,-1.2225238993824519
rsnn64_progress,hard,53,129,2,0.9454545454545454,0.051930276391203734,-2.3149803624335163,-2.36691063882472
rsnn64_progress,hard,53,130,7,0.9468085106382979,0.016830784841658897,0.5310044415432458,0.5141736567015869
rsnn64_progress,hard,53,131,3,0.7088607594936709,0.365260869978556,2.287390302651147,1.922129432672591
rsnn64_progress,hard,53,132,6,0.6976744186046512,0.1359185124722444,-0.5429798778723125,-0.6788983903445569
rsnn64_progress,hard,53,133,0,0.7613636363636364,-0.5417036764258683,-3.0242530402651937,-2.4825493638393255
rsnn64_progress,hard,53,134,9,0.8192771084337349,2.038019523709636,1.8913215662032599,-0.14669795750637604
rsnn64_progress,hard,53,135,2,0.9322033898305084,0.974500259817205,-0.07712733002972527,-1.0516275898469303
rsnn64_progress,hard,53,136,5,0.9148936170212766,-0.6229010108871762,-1.0131472183084043,-0.39024620742122806
rsnn64_progress,hard,53,137,8,0.819672131147541,-0.1688778632415051,-1.8399255201952656,-1.6710476569537605
rsnn64_progress,hard,53,138,3,0.8055555555555556,0.6454255699200075,0.6469825059998584,0.001556936079850857
rsnn64_progress,hard,53,139,4,0.8681318681318682,1.0363830806571173,2.4409687395600486,1.4045856589029313
rsnn64_progress,hard,53,140,6,0.6395348837209303,1.5741216079109108,2.410491697915859,0.836370090004948
rsnn64_progress,hard,53,141,1,0.8764044943820225,0.2163723716566892,-2.85956100358635,-3.0759333752430393
rsnn64_progress,hard,53,142,10,0.9298245614035088,-1.4026626219138052,-3.7187803721428736,-2.3161177502290684
rsnn64_progress,hard,53,143,0,0.6477272727272727,-0.5835293300421167,-1.7846861551093376,-1.2011568250672209
rsnn64_progress,hard,53,144,9,0.6075949367088608,1.4043859803759915,-0.028808118494680457,-1.433194098870672
rsnn64_progress,hard,53,145,7,0.813953488372093,0.662094276933658,0.6938335999302581,0.031739322996600094
rsnn64_progress,local2,53,0,8,0.9298245614035088,-0.4092139172224445,-0.8002335955845612,-0.3910196783621167
rsnn64_progress,local2,53,1,1,0.7254901960784313,1.9059674095406693,0.7545353642925816,-1.1514320452480877
rsnn64_progress,local2,53,2,11,0.7285714285714285,-3.839222161112048,-4.035801277736751,-0.19657911662470307
rsnn64_progress,local2,53,3,4,0.7894736842105263,2.6598396183098956,0.7212133252094648,-1.9386262931004308
rsnn64_progress,local2,53,4,5,0.5137614678899083,3.4287935787700796,4.359647629411005,0.9308540506409253
rsnn64_progress,local2,53,5,2,0.7777777777777778,3.8590270538498985,0.6334226855063281,-3.2256043683435704
rsnn64_progress,local2,53,6,7,0.6989247311827957,2.074813535319927,0.7581155880727692,-1.3166979472471576
rsnn64_progress,local2,53,7,3,0.5894736842105263,2.406085820261536,0.9966014038088362,-1.4094844164526998
rsnn64_progress,local2,53,8,6,0.5784313725490197,3.322762245450221,1.1940068785567677,-2.1287553668934533
rsnn64_progress,local2,53,9,0,0.6880733944954128,2.4541971216658016,-1.126559790691939,-3.5807569123577405
rsnn64_progress,local2,53,10,9,0.6481481481481481,3.993736153525539,3.896005883608762,-0.09773026991677725
rsnn64_progress,local2,53,11,0,0.4423076923076923,3.092002600858202,3.212077278248003,0.12007467738980093
rsnn64_progress,local2,53,12,5,0.7719298245614035,4.293402642093522,0.8918697300611145,-3.4015329120324074
rsnn64_progress,local2,53,13,6,0.5,1.4918071813456777,0.3252860166766265,-1.1665211646690512
rsnn64_progress,local2,53,14,4,0.9130434782608695,4.089582423919525,-0.20512854293684413,-4.294710966856369
rsnn64_progress,local2,53,15,3,0.631578947368421,3.53358091416525,0.6636639896430654,-2.8699169245221845
rsnn64_progress,local2,53,16,8,0.8793103448275862,1.4888573699147252,-0.041162384491441495,-1.5300197544061667
rsnn64_progress,local2,53,17,7,0.8351648351648352,1.0906699641667585,2.0068208550729265,0.916150890906168
rsnn64_progress,local2,53,18,1,0.8823529411764706,3.6785669137790427,-2.860822545033762,-6.5393894588128045
rsnn64_progress,local2,53,19,11,0.7674418604651163,-3.350208805248513,-6.78317225380532,-3.4329634485568072
rsnn64_progress,local2,53,20,9,0.7766990291262136,5.813677677731837,0.6759515676615666,-5.13772611007027
rsnn64_progress,local2,53,21,2,0.8714285714285714,3.078072276766322,-1.93119226350702,-5.0092645402733424
rsnn64_progress,local2,53,22,10,0.5901639344262295,2.017198202827468,0.915771067896642,-1.1014271349308262
rsnn64_progress,local2,53,23,9,0.7685185185185185,3.484367280069396,-5.641461761016744,-9.12582904108614
rsnn64_progress,local2,53,24,11,0.8723404255319149,-2.1261150988600432,-0.921480731644273,1.2046343672157702
rsnn64_progress,local2,53,25,2,0.6710526315789473,1.8031131615182103,2.451155517594384,0.6480423560761739
