objective,architecture,last_layer,split,scope,layer,shift,mean_neurons,mean_firing_rate,sd_neurons,sd_firing_rate
fixed250_sequence_ce,E,L3,val,tau_subgroup,L2,2,43.0,0.01222030992780238,0.0,0.003561493705470439
fixed250_sequence_ce,E,L3,val,tau_subgroup,L2,3,43.0,0.03275535765690171,0.0,0.0017685308203828178
fixed250_sequence_ce,E,L3,val,tau_subgroup,L2,4,42.0,0.0855033143682077,0.0,0.007105280138511334
fixed250_sequence_ce,E,L3,val,tau_subgroup,L3,2,43.0,0.11246741103237357,0.0,0.014290760958073884
fixed250_sequence_ce,E,L3,val,tau_subgroup,L3,3,43.0,0.15100728917634554,0.0,0.020611689927696256
fixed250_sequence_ce,E,L3,val,tau_subgroup,L3,4,42.0,0.18427803626644815,0.0,0.01193473626784253
fixed250_sequence_ce,E,L3,val,whole_layer,L1,-1,128.0,0.00863231754601586,0.0,0.0011373587505781888
fixed250_sequence_ce,E,L3,val,whole_layer,L2,-1,128.0,0.04316478835630468,0.0,0.002481249301222075
fixed250_sequence_ce,E,L3,val,whole_layer,L3,-1,128.0,0.1489772627512949,0.0,0.0036935273691438165
relative10_sequence_ce,A,L3,test,tau_subgroup,L1,2,43.0,0.0003345559716635587,0.0,3.1379659312524375e-05
relative10_sequence_ce,A,L3,test,tau_subgroup,L1,3,43.0,0.00791311562151638,0.0,0.000565652369538761
relative10_sequence_ce,A,L3,test,tau_subgroup,L1,4,42.0,0.04393940589268621,0.0,0.004800022552939998
relative10_sequence_ce,A,L3,test,tau_subgroup,L2,2,43.0,0.037095257909904915,0.0,0.00381185664204157
relative10_sequence_ce,A,L3,test,tau_subgroup,L2,3,43.0,0.08969310750484176,0.0,0.016364882839596907
relative10_sequence_ce,A,L3,test,tau_subgroup,L2,4,42.0,0.13312716294823648,0.0,0.009525357990657285
relative10_sequence_ce,A,L3,test,whole_layer,L1,-1,128.0,0.017188319734371547,0.0,0.0015605251609486083
relative10_sequence_ce,A,L3,test,whole_layer,L2,-1,128.0,0.08627531684890656,0.0,0.009828933615898462
relative10_sequence_ce,A,L3,test,whole_layer,L3,-1,64.0,0.23349615846587146,0.0,0.009431867212032064
relative10_sequence_ce,A,L3,train,tau_subgroup,L1,2,43.0,0.000589441748029752,0.0,0.00011778871645348499
relative10_sequence_ce,A,L3,train,tau_subgroup,L1,3,43.0,0.007063174003593517,0.0,0.0005319601817161591
relative10_sequence_ce,A,L3,train,tau_subgroup,L1,4,42.0,0.03812028102312324,0.0,0.0022052158317330275
