objective,architecture,last_layer,layer,shift,tau_syn_ms,group_neurons,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
relative10_sequence_ce,A,L3,L2,3,117.0136826471659,43,full_count,43.0,0.39476110309443646,0.39465626965626965,0.37824870279310296,0.408675799086758,0.0,0.06152493736476583,0.040206474842106675,0.0424515287761085,0.046622323873657834
relative10_sequence_ce,A,L3,L2,4,242.10347130039656,42,fixed250,672.0,0.424549062049062,0.47490079365079363,0.48423213707558665,0.4840182648401827,0.0,0.015590061724399461,0.011406557936422604,0.01387054905299026,0.010462501586657158
relative10_sequence_ce,A,L3,L2,4,242.10347130039656,42,full_count,42.0,0.4019981561648229,0.3775162337662337,0.369811013685093,0.3835616438356164,0.0,0.039334618658339794,0.04342174800186828,0.03836200853886577,0.04491396249521919
relative10_sequence_ce,B,L2,L1,2,54.31342963722199,43,fixed250,688.0,0.12836099086099087,0.13568977318977318,0.11420980580179803,0.1415525114155251,0.0,0.025083186431153003,0.025127340153382402,0.02362142627634538,0.035147955064704674
relative10_sequence_ce,B,L2,L1,2,54.31342963722199,43,full_count,43.0,0.13366402116402118,0.10155723905723905,0.07010574152418823,0.09817351598173514,0.0,0.024748620690565677,0.031484601835834486,0.036253602655003325,0.033786868919974296
relative10_sequence_ce,B,L2,L1,3,117.0136826471659,43,fixed250,688.0,0.3445386403719737,0.34579980204980204,0.33761374864166394,0.3515981735159817,0.0,0.020781759179833357,0.02273461057515033,0.014934514276607998,0.022017467490851473
relative10_sequence_ce,B,L2,L1,3,117.0136826471659,43,full_count,43.0,0.2557279140612474,0.2546446608946609,0.23572814467042771,0.2671232876712329,0.0,0.045154040377193685,0.03604199465496764,0.028822071050495366,0.035590085087031736
relative10_sequence_ce,B,L2,L1,4,242.10347130039656,42,fixed250,672.0,0.4817139650472984,0.4761002886002886,0.4749777758257166,0.48630136986301364,0.0,0.024378877169482144,0.018126669392617662,0.020042179747558883,0.02054794520547948
relative10_sequence_ce,B,L2,L1,4,242.10347130039656,42,full_count,42.0,0.4023869648869649,0.36054246679246676,0.351690937757755,0.3675799086757991,0.0,0.043729581201053615,0.02613547248771854,0.027805361322357565,0.028515972595426462
relative10_sequence_ce,B,L2,L2,2,54.31342963722199,43,fixed250,688.0,0.48821348404681747,0.5004081566581566,0.5003385697721077,0.5114155251141552,0.0,0.03909308861598246,0.030635286104400892,0.025696126386528132,0.02768117728991358
relative10_sequence_ce,B,L2,L2,2,54.31342963722199,43,full_count,43.0,0.4159972743306077,0.4287925037925038,0.40935656410002785,0.4383561643835616,0.0,0.05452450959043388,0.027033501528328445,0.025117740036715866,0.02469555668126018
relative10_sequence_ce,B,L2,L2,3,117.0136826471659,43,fixed250,688.0,0.4989558281224948,0.5038549413549414,0.5053012885496999,0.5159817351598174,0.0,0.022241120665477506,0.0429392119605005,0.041476339883881726,0.048108008003893775
relative10_sequence_ce,B,L2,L2,3,117.0136826471659,43,full_count,43.0,0.42424242424242425,0.38036916786916786,0.37842420383290704,0.3835616438356164,0.0,0.01728956400407566,0.019917250718542168,0.016659632339634956,0.020547945205479465
relative10_sequence_ce,B,L2,L2,4,242.10347130039656,42,fixed250,672.0,0.5066839025172358,0.49335201835201836,0.4921651742992102,0.502283105022831,0.0,0.04288702682953795,0.020941220162776514,0.02242198504379274,0.022017467490851515
relative10_sequence_ce,B,L2,L2,4,242.10347130039656,42,full_count,42.0,0.39526815776815777,0.3740810115810116,0.3630933716061322,0.3789954337899544,0.0,0.07840725776720323,0.019392947245079513,0.020427308386484745,0.024054004001946898
relative10_sequence_ce,C,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.13762025012025011,0.14876836126836127,0.1151696941074269,0.1643835616438356,0.0,0.010350554858401096,0.03987811870666535,0.04506072604537082,0.04491396249521917
relative10_sequence_ce,C,L3,L1,2,54.31342963722199,43,full_count,43.0,0.12227633477633477,0.13886113886113885,0.0981543241686479,0.1552511415525114,0.0,0.009722673986296644,0.03344346089121397,0.03949026170741583,0.038946854130666626
relative10_sequence_ce,C,L3,L1,3,117.0136826471659,43,fixed250,688.0,0.31797138047138046,0.33467782217782216,0.3219277058057506,0.3356164383561644,0.0,0.009503063900672392,0.019250101980730835,0.028517334947456858,0.018121584322360218
relative10_sequence_ce,C,L3,L1,3,117.0136826471659,43,full_count,43.0,0.2752765752765753,0.2705750268250268,0.2493522077690419,0.2762557077625571,0.0,0.04639383703105653,0.04121827917973251,0.040805477562448345,0.045604987112872544
relative10_sequence_ce,C,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.4491041366041366,0.4849622599622599,0.4709940149183482,0.4931506849315068,0.0,0.021698379499053986,0.010204013277208268,0.017775301231399955,0.011863361695677277
relative10_sequence_ce,C,L3,L1,4,242.10347130039656,42,full_count,42.0,0.3623216289882956,0.39999653124653123,0.38003199133447607,0.408675799086758,0.0,0.04660651980051116,0.05077203019083974,0.04846500146335769,0.058252743480242355
relative10_sequence_ce,C,L3,L2,2,54.31342963722199,43,fixed250,688.0,0.365957190957191,0.4174563862063862,0.40435470799225537,0.4246575342465753,0.0,0.04576406184255583,0.055433781636727485,0.05780648730962975,0.06087804395421637
relative10_sequence_ce,C,L3,L2,2,54.31342963722199,43,full_count,43.0,0.2833353375020042,0.3253836441336441,0.30121568650289704,0.3356164383561644,0.0,0.04818262825070164,0.012604321440521917,0.01938314022814939,0.011863361695677277
relative10_sequence_ce,C,L3,L2,3,117.0136826471659,43,fixed250,688.0,0.42184944684944686,0.47099497724497724,0.461647488890713,0.4771689497716895,0.0,0.051523564687525794,0.00796317203139647,0.0041556381881177025,0.010462501586657163
relative10_sequence_ce,C,L3,L2,3,117.0136826471659,43,full_count,43.0,0.359395542728876,0.37870578495578494,0.364767293013708,0.38127853881278534,0.0,0.041964977490638225,0.11686457379942417,0.12010981648043792,0.10987405858918689
relative10_sequence_ce,C,L3,L2,4,242.10347130039656,42,fixed250,672.0,0.44134599967933297,0.45372544122544123,0.4471553566178514,0.46575342465753417,0.0,0.033026835814555955,0.04614433263523432,0.04512127172766279,0.04745344678270896
relative10_sequence_ce,C,L3,L2,4,242.10347130039656,42,full_count,42.0,0.36006894340227674,0.40956612831612826,0.38873619893653927,0.4200913242009132,0.0,0.020218916449965443,0.06452275784509456,0.08826177042419989,0.06473720035962477
relative10_sequence_ce,D,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.1279100529100529,0.11070087320087318,0.0858515209481464,0.11643835616438354,0.0,0.013611650998902826,0.011673035594339968,0.021371472644254572,0.01186336169567724
relative10_sequence_ce,D,L3,L1,2,54.31342963722199,43,full_count,43.0,0.11003086419753087,0.1053090428090428,0.061016446670689874,0.11643835616438354,0.0,0.008981163288241637,0.024529090284635152,0.018020486417680504,0.036243168644720415
relative10_sequence_ce,D,L3,L1,3,117.0136826471659,43,fixed250,688.0,0.34061247394580724,0.3500890313390313,0.3369569007319937,0.35616438356164387,0.0,0.00968524458396199,0.02440550515737724,0.03174408008197037,0.02469555668126022
relative10_sequence_ce,D,L3,L1,3,117.0136826471659,43,full_count,43.0,0.24321989738656405,0.2512702575202575,0.2264877353720892,0.2648401826484018,0.0,0.01501170604978395,0.057627688072677374,0.054789995202180496,0.06364091262450391
relative10_sequence_ce,D,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.4451759660092993,0.47094618344618344,0.4711100925067689,0.47716894977168955,0.0,0.08197928661721728,0.03463024763126874,0.034366961535341765,0.03163563118847268
