family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second
direct_snn,mid_long,timestep_ce,multi_h,31,1.0,11,output_whole_count,100,0.49680111300935836,0.3255952380952381,0.2560945998445998,0.2602739726027397,0.22040730277172993,0.2560945998445998,25.220551689860834
direct_snn,mid_long,timestep_ce,multi_h,31,1.0,23,output_whole_count,61,0.2590050439893207,0.28948412698412695,0.14664502164502166,0.14383561643835616,0.07066170861937453,0.14664502164502166,33.38415341285619
direct_snn,mid_long,timestep_ce,multi_h,31,1.0,37,output_whole_count,77,0.37046968296806443,0.2882034632034632,0.23373709623709624,0.2465753424657534,0.18628867084936693,0.23373709623709624,18.1610337972167
direct_snn,mid_long,timestep_ce,multi_h,31,1.0,53,output_whole_count,58,0.3533834333066667,0.2474867724867725,0.24783549783549783,0.2602739726027397,0.18156365414866105,0.24783549783549783,11.925240225314777
direct_snn,mid_long,timestep_ce,multi_h,31,1.0,71,output_whole_count,80,0.5160869425870828,0.3208994708994709,0.3090728715728716,0.3287671232876712,0.2345220388725291,0.3090728715728716,17.674991716368456
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,11,l2_fixed250_ordered_linear,100,0.9649021010150743,0.553409090909091,0.6292069042069043,0.6506849315068494,0.6346539856090774,0.4791784604284604,18.159294234592444
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,23,l2_fixed250_ordered_linear,73,0.9514268788023382,0.546007696007696,0.6027368464868464,0.6164383561643836,0.6000562040224174,0.5060973748473748,15.83395460569914
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,37,l2_fixed250_ordered_linear,93,0.9810297793099757,0.5053030303030303,0.6051198801198802,0.6164383561643836,0.6024789301486768,0.5446005383505383,15.924908880053016
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,53,l2_fixed250_ordered_linear,88,0.9841755532890831,0.52252886002886,0.5977695915195914,0.6164383561643836,0.5909458012790509,0.49937839937839934,16.29916335321405
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,71,l2_fixed250_ordered_linear,59,0.9900083794201442,0.5608585858585858,0.5423513986013985,0.5547945205479452,0.5269805536795948,0.4616078366078366,15.527708747514911
snn_fixed250_linear,local_234x2,timestep_ce,multi_h,31,,11,l2_fixed250_ordered_linear,88,0.9372423688923353,0.5117063492063492,0.6101322288822287,0.6301369863013698,0.6196896537004396,0.49831210456210456,68.68352385685884
snn_fixed250_linear,local_234x2,timestep_ce,multi_h,31,,23,l2_fixed250_ordered_linear,86,0.9260968816945897,0.49933862433862436,0.6197892385392386,0.636986301369863,0.6144246293564002,0.5241418303918303,60.10234426772697
