anchor,seed,sample_a,timestep_a,label_a,sample_b,timestep_b,label_b,what_cosine_similarity,what_norm_ratio,coordinate_a,coordinate_b,coordinate_abs_delta,anchor_q_l1_distance,delta_z_l1_distance,q_l1_distance,delta_w_pair_fro,top_support_a,top_support_b,different_top_support,anchor_margin_a,residual_margin_a,margin_delta_a,anchor_margin_b,residual_margin_b,margin_delta_b
clock,71,75,19,8,31,11,5,1.0,1.0,0.296875,0.171875,0.125,0.0850046525411016,0.0,0.0850046525411016,0.0,7,7,False,-0.0238603348843753,-0.0238603348843753,0.0,-0.0360301509499549,-0.0360301509499549,0.0
clock,71,100,16,6,30,18,7,1.0,1.0,0.25,0.28125,0.03125,0.021693098346077,0.0,0.021693098346077,0.0,7,7,False,-0.0182661395519971,-0.0182661395519971,0.0,0.0055196434259414,0.0055196434259414,0.0
clock,71,108,15,2,76,16,1,1.0,1.0,0.234375,0.25,0.015625,0.0106834482430713,0.0,0.0106834482430713,0.0,8,8,False,-0.0158487157896161,-0.0158487157896161,0.0,-0.0391135886311531,-0.0391135886311531,0.0
oracle_progress,71,9,8,0,76,8,1,1.0,1.0,0.074074074074074,0.0661157024793388,0.0079583715947352,0.0212862625867273,0.0,0.0212862625867273,0.0,4,4,False,-0.0580846350640058,-0.0580846350640058,0.0,-0.000566828995943,-0.000566828995943,0.0
oracle_progress,71,44,10,5,55,8,4,1.0,1.0,0.0892857142857142,0.086021505376344,0.0032642089093701,0.0090936339147447,0.0,0.0090936339147447,0.0,11,11,False,-0.0338235720992088,-0.0338235720992088,0.0,-0.0365163870155811,-0.0365163870155811,0.0
oracle_progress,71,45,14,8,108,14,2,1.0,1.0,0.2745098039215686,0.2545454545454545,0.0199643493761141,0.0649168271920643,0.0,0.0649168271920643,0.0,11,11,False,-0.0477145761251449,-0.0477145761251449,0.0,-0.0161557691171765,-0.0161557691171765,0.0
oracle_progress,71,55,5,4,44,10,5,1.0,1.0,0.053763440860215,0.0892857142857142,0.0355222734254992,0.095306754725243,0.0,0.095306754725243,0.0,11,11,False,-0.0386530314572155,-0.0386530314572155,0.0,-0.0338235720992088,-0.0338235720992088,0.0
oracle_progress,71,86,16,6,141,13,1,1.0,1.0,0.1951219512195122,0.1477272727272727,0.0473946784922394,0.1504619881961844,0.0,0.1504619881961844,0.0,11,11,False,-0.0217253700830042,-0.0217253700830042,0.0,-0.0230642352253198,-0.0230642352253198,0.0
oracle_progress,71,86,17,6,136,15,5,1.0,1.0,0.2073170731707317,0.1612903225806451,0.0460267505900865,0.147631730971625,0.0,0.147631730971625,0.0,8,8,False,-0.0251012681983411,-0.0251012681983411,0.0,-0.0441054366528987,-0.0441054366528987,0.0
oracle_progress,71,87,5,4,44,10,5,1.0,1.0,0.0543478260869565,0.0892857142857142,0.0349378881987577,0.0938060924781893,0.0,0.0938060924781893,0.0,11,11,False,-0.038615402765572,-0.038615402765572,0.0,-0.0338235720992088,-0.0338235720992088,0.0
oracle_progress,71,94,14,2,139,19,4,1.0,1.0,0.2258064516129032,0.2111111111111111,0.0146953405017921,0.0478150898998137,0.0,0.0478150898998137,0.0,8,8,False,-0.0254040341824293,-0.0254040341824293,0.0,-0.0368673200719058,-0.0368673200719058,0.0
oracle_progress,71,108,14,2,133,19,0,1.0,1.0,0.2545454545454545,0.2183908045977011,0.0361546499477533,0.1173116861318703,0.0,0.1173116861318703,0.0,11,11,False,-0.0161557691171765,-0.0161557691171765,0.0,-0.0385366110131144,-0.0385366110131144,0.0
oracle_progress,71,108,15,2,118,13,7,1.0,1.0,0.2727272727272727,0.3023255813953488,0.0295983086680761,0.1005054135457612,0.0,0.1005054135457612,0.0,8,8,False,-0.0209156516939401,-0.0209156516939401,0.0,-0.0114771015942096,-0.0114771015942096,0.0
oracle_progress,71,133,19,0,86,16,6,1.0,1.0,0.2183908045977011,0.1951219512195122,0.0232688533781889,0.0755380073387641,0.0,0.0755380073387641,0.0,11,11,False,-0.0385366110131144,-0.0385366110131144,0.0,-0.0217253700830042,-0.0217253700830042,0.0
oracle_progress,71,135,13,2,86,16,6,1.0,1.0,0.2241379310344827,0.1951219512195122,0.0290159798149705,0.0942425175453536,0.0,0.0942425175453536,0.0,11,11,False,-0.0191529560834169,-0.0191529560834169,0.0,-0.0217253700830042,-0.0217253700830042,0.0
oracle_progress,71,136,15,5,141,14,1,1.0,1.0,0.1612903225806451,0.1590909090909091,0.002199413489736,0.0069145171873969,0.0,0.0069145171873969,0.0,8,8,False,-0.0441054366528987,-0.0441054366528987,0.0,-0.0408848570659756,-0.0408848570659756,0.0
