architecture,family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,s1_spike_wc_beta05,task_plus_reg,23,l2_fixed250_linear,val,0.5158730158730159,0.504004329004329,0.514139682163928
234x234,s1_spike_wc_beta05,task_plus_reg,23,l2_wholecount_linear,test,0.5821917808219178,0.5700126262626262,0.5592917296444945
234x234,s1_spike_wc_beta05,task_plus_reg,23,l2_wholecount_linear,train,0.9225473321858864,0.9229986162566598,0.9267343715353369
234x234,s1_spike_wc_beta05,task_plus_reg,23,l2_wholecount_linear,val,0.48412698412698413,0.4708453583453584,0.4761384158926729
234x234,s1_spike_wc_beta05,task_plus_reg,37,l2_fixed250_linear,test,0.5958904109589042,0.5867077367077367,0.5928509023845614
234x234,s1_spike_wc_beta05,task_plus_reg,37,l2_fixed250_linear,train,0.9328743545611016,0.932204927683003,0.9382171909466989
234x234,s1_spike_wc_beta05,task_plus_reg,37,l2_fixed250_linear,val,0.47619047619047616,0.4770622895622896,0.4896195963765623
234x234,s1_spike_wc_beta05,task_plus_reg,37,l2_wholecount_linear,test,0.541095890410959,0.5258581696081697,0.5075356380163255
234x234,s1_spike_wc_beta05,task_plus_reg,37,l2_wholecount_linear,train,0.8209982788296041,0.8053054685823086,0.8154660419658374
234x234,s1_spike_wc_beta05,task_plus_reg,37,l2_wholecount_linear,val,0.4523809523809524,0.4328162578162578,0.42637525201312965
234x234,s2_spike_tsce_beta05,task_only,11,l2_fixed250_linear,test,0.410958904109589,0.412054612054612,0.3971958882714031
234x234,s2_spike_tsce_beta05,task_only,11,l2_fixed250_linear,train,0.7865748709122203,0.7784357731258651,0.8164469774903097
234x234,s2_spike_tsce_beta05,task_only,11,l2_fixed250_linear,val,0.3888888888888889,0.369510582010582,0.38928061890523197
234x234,s2_spike_tsce_beta05,task_only,11,l2_wholecount_linear,test,0.3493150684931507,0.3290903540903541,0.29527837323491707
234x234,s2_spike_tsce_beta05,task_only,11,l2_wholecount_linear,train,0.4750430292598967,0.45612280343250555,0.47532441901279315
234x234,s2_spike_tsce_beta05,task_only,11,l2_wholecount_linear,val,0.35714285714285715,0.33555194805194805,0.34648771221997765
234x234,s2_spike_tsce_beta05,task_only,23,l2_fixed250_linear,test,0.3698630136986301,0.3668324730824731,0.3484737244719522
234x234,s2_spike_tsce_beta05,task_only,23,l2_fixed250_linear,train,0.8760757314974182,0.8757922291664818,0.897774831329146
234x234,s2_spike_tsce_beta05,task_only,23,l2_fixed250_linear,val,0.36507936507936506,0.3508658008658008,0.37352090267511917
234x234,s2_spike_tsce_beta05,task_only,23,l2_wholecount_linear,test,0.4178082191780822,0.41100357975357976,0.4141429752833261
234x234,s2_spike_tsce_beta05,task_only,23,l2_wholecount_linear,train,0.6643717728055077,0.6531909863398622,0.6910242122174038
234x234,s2_spike_tsce_beta05,task_only,23,l2_wholecount_linear,val,0.3888888888888889,0.3621091871091871,0.3794422287378944
234x234,s2_spike_tsce_beta05,task_only,37,l2_fixed250_linear,test,0.4520547945205479,0.43726689976689975,0.4274166869556675
234x234,s2_spike_tsce_beta05,task_only,37,l2_fixed250_linear,train,0.7332185886402753,0.723843228274207,0.7670874925642927
234x234,s2_spike_tsce_beta05,task_only,37,l2_fixed250_linear,val,0.3968253968253968,0.36468253968253966,0.3725673298041719
234x234,s2_spike_tsce_beta05,task_only,37,l2_wholecount_linear,test,0.4041095890410959,0.39205794205794203,0.3774131389581305
234x234,s2_spike_tsce_beta05,task_only,37,l2_wholecount_linear,train,0.8072289156626506,0.8052472729228991,0.8314259727036603
234x234,s2_spike_tsce_beta05,task_only,37,l2_wholecount_linear,val,0.3253968253968254,0.32156084656084655,0.314908130607305
234x234,s2_spike_tsce_beta05,task_plus_reg,11,l2_fixed250_linear,test,0.1780821917808219,0.17634171384171382,0.16095419988302176
234x234,s2_spike_tsce_beta05,task_plus_reg,11,l2_fixed250_linear,train,0.5817555938037866,0.576386790633804,0.626654357653917
234x234,s2_spike_tsce_beta05,task_plus_reg,11,l2_fixed250_linear,val,0.2619047619047619,0.24477513227513226,0.23668106131341426
234x234,s2_spike_tsce_beta05,task_plus_reg,11,l2_wholecount_linear,test,0.136986301369863,0.1352231102231102,0.12131816984758163
234x234,s2_spike_tsce_beta05,task_plus_reg,11,l2_wholecount_linear,train,0.5748709122203098,0.5730671998087608,0.6156659352722174
234x234,s2_spike_tsce_beta05,task_plus_reg,11,l2_wholecount_linear,val,0.1984126984126984,0.18379629629629632,0.15336700336700335
234x234,s2_spike_tsce_beta05,task_plus_reg,23,l2_fixed250_linear,test,0.3219178082191781,0.3128163503163503,0.2908161506951829
234x234,s2_spike_tsce_beta05,task_plus_reg,23,l2_fixed250_linear,train,0.6419965576592083,0.6306745068560793,0.6918577897697413
234x234,s2_spike_tsce_beta05,task_plus_reg,23,l2_fixed250_linear,val,0.31746031746031744,0.2982142857142857,0.3086778296782536
234x234,s2_spike_tsce_beta05,task_plus_reg,23,l2_wholecount_linear,test,0.3561643835616438,0.3419178044178044,0.327108424503477
234x234,s2_spike_tsce_beta05,task_plus_reg,23,l2_wholecount_linear,train,0.576592082616179,0.5628949469639996,0.6072345638320481
234x234,s2_spike_tsce_beta05,task_plus_reg,23,l2_wholecount_linear,val,0.29365079365079366,0.26964285714285713,0.26418180664396695
234x234,s2_spike_tsce_beta05,task_plus_reg,37,l2_fixed250_linear,test,0.3150684931506849,0.2978785103785104,0.2690114344719608
234x234,s2_spike_tsce_beta05,task_plus_reg,37,l2_fixed250_linear,train,0.4664371772805508,0.44971815640142654,0.5009705986647631
234x234,s2_spike_tsce_beta05,task_plus_reg,37,l2_fixed250_linear,val,0.25396825396825395,0.23134920634920633,0.2222299485734065
234x234,s2_spike_tsce_beta05,task_plus_reg,37,l2_wholecount_linear,test,0.3150684931506849,0.30459540459540463,0.28547115772179704
234x234,s2_spike_tsce_beta05,task_plus_reg,37,l2_wholecount_linear,train,0.4939759036144578,0.4824372125322532,0.5354637548359021
234x234,s2_spike_tsce_beta05,task_plus_reg,37,l2_wholecount_linear,val,0.2222222222222222,0.20218253968253966,0.187619335173683
234x234,s3_spike_wc_beta10,task_only,11,l2_fixed250_linear,test,0.5547945205479452,0.5394251581751582,0.5362045909099685
234x234,s3_spike_wc_beta10,task_only,11,l2_fixed250_linear,train,0.9156626506024096,0.914137624427759,0.924113294409115
