architecture,family,regularization,source,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,a2_shared_wholecount,task_only,native,train,3,0.9082042455536431,0.9076199966667621,0.9096317917658615,0.046226591115281,0.04849480766558415,0.04720766347018823
234x234,a2_shared_wholecount,task_only,native,val,3,0.5634920634920635,0.5708433541766875,0.5665464360580537,0.028615486313206272,0.019491845617374878,0.018773547381487933
234x234,a2_shared_wholecount,task_plus_reg,l2_fixed250_linear,test,3,0.6232876712328768,0.6111686924186923,0.6106155879081224,0.0,0.0003442450781712172,0.006903862517113178
234x234,a2_shared_wholecount,task_plus_reg,l2_fixed250_linear,train,3,0.9913941480206541,0.9916944118578105,0.9919822295801771,0.004553788831436519,0.004266516418433829,0.004060651762993432
234x234,a2_shared_wholecount,task_plus_reg,l2_fixed250_linear,val,3,0.6164021164021164,0.6114718614718616,0.6192137891916297,0.03207501495497917,0.036551490799079815,0.03502734246073563
234x234,a2_shared_wholecount,task_plus_reg,l2_wholecount_linear,test,3,0.6004566210045662,0.5905511155511155,0.5892343357345102,0.03894685413066665,0.0314902377901355,0.036938686873858206
234x234,a2_shared_wholecount,task_plus_reg,l2_wholecount_linear,train,3,0.9672977624784854,0.9667875924321669,0.9685203974370177,0.030009631280830736,0.03133239664266377,0.029543625209236733
234x234,a2_shared_wholecount,task_plus_reg,l2_wholecount_linear,val,3,0.6164021164021164,0.60669392336059,0.6050238586968099,0.025512303600510457,0.031135869250708673,0.035079992528309574
234x234,a2_shared_wholecount,task_plus_reg,native,test,3,0.5844748858447488,0.5719135031635031,0.5665203593740848,0.0104625015866572,0.013203544946375914,0.018579103025742047
234x234,a2_shared_wholecount,task_plus_reg,native,train,3,0.9323006310958117,0.9319102872430318,0.9337949463627977,0.012918336487891768,0.012261954241564281,0.012479875758246557
234x234,a2_shared_wholecount,task_plus_reg,native,val,3,0.5899470899470899,0.5777577360910695,0.5774908045861842,0.039946213943231446,0.04327883282932012,0.053342806423476795
234x234,f1_fixed250_tsce,task_only,l2_fixed250_linear,test,3,0.634703196347032,0.6181693306693307,0.6209065345521166,0.04859314304518898,0.044937235159394164,0.04018707854837768
234x234,f1_fixed250_tsce,task_only,l2_fixed250_linear,train,3,0.9977051061388411,0.9977801519468185,0.9978052168954319,0.000993718191376293,0.0010691671651659191,0.0009988046390475465
234x234,f1_fixed250_tsce,task_only,l2_fixed250_linear,val,3,0.626984126984127,0.6163319704986371,0.6251803214476483,0.03459443605984657,0.034856613301025484,0.0357739639963125
234x234,f1_fixed250_tsce,task_only,l2_wholecount_linear,test,3,0.5525114155251142,0.5370065120065121,0.5283459681730049,0.024054004001946846,0.01976988055686729,0.01220122695683358
234x234,f1_fixed250_tsce,task_only,l2_wholecount_linear,train,3,0.9225473321858865,0.9210218745508039,0.9229126913987917,0.06972333597428257,0.07145768238741476,0.07046509266433085
234x234,f1_fixed250_tsce,task_only,l2_wholecount_linear,val,3,0.5476190476190476,0.5365420073753407,0.5480555150940835,0.02380952380952374,0.0289150874296247,0.02505795745733312
234x234,f1_fixed250_tsce,task_only,native,test,3,0.6050228310502282,0.5817723942723942,0.5679300269446869,0.027681177289913567,0.03425253908482065,0.04527889508650008
234x234,f1_fixed250_tsce,task_only,native,train,3,0.9231210556511762,0.9200498046932664,0.9232066991390663,0.048203015057475526,0.051033106225622626,0.04882542659846454
234x234,f1_fixed250_tsce,task_only,native,val,3,0.626984126984127,0.6112473945807279,0.6105658234329778,0.028615486313206272,0.030484158124439272,0.034508383692710635
234x234,f1_fixed250_tsce,task_plus_reg,l2_fixed250_linear,test,3,0.6141552511415526,0.5981650294150294,0.6034642145953636,0.028515972595426497,0.030344081377104763,0.026262169165324457
234x234,f1_fixed250_tsce,task_plus_reg,l2_fixed250_linear,train,3,0.9523809523809524,0.951484665825472,0.9534314871696639,0.0532265741530418,0.05471281316672773,0.052467646316515085
234x234,f1_fixed250_tsce,task_plus_reg,l2_fixed250_linear,val,3,0.6084656084656085,0.5952180535513868,0.6063626651064395,0.01997310697161573,0.02147926041254609,0.01738064962677464
234x234,f1_fixed250_tsce,task_plus_reg,l2_wholecount_linear,test,3,0.5479452054794521,0.5326888389388389,0.5301508204615956,0.042773958893139674,0.035668003745923965,0.035585899303721254
234x234,f1_fixed250_tsce,task_plus_reg,l2_wholecount_linear,train,3,0.8496844520940906,0.8478105097425054,0.8511530103060841,0.023368229322336464,0.024185066567292468,0.02382149922389318
234x234,f1_fixed250_tsce,task_plus_reg,l2_wholecount_linear,val,3,0.5211640211640212,0.5144721019721019,0.5194672962080319,0.05741411220690665,0.053870167213944456,0.05986015345692727
234x234,f1_fixed250_tsce,task_plus_reg,native,test,3,0.634703196347032,0.6125189625189624,0.599334097055065,0.022017467490851508,0.024254560752989977,0.028951431748997142
234x234,f1_fixed250_tsce,task_plus_reg,native,train,3,0.8582903040734365,0.8534702337745451,0.855898307307418,0.04422883275320262,0.044477665321844814,0.044556413193789675
234x234,f1_fixed250_tsce,task_plus_reg,native,val,3,0.6375661375661376,0.6236030944364278,0.6214861691697512,0.012123216124221823,0.009905253452110411,0.015466528108282971
234x234,f2_fixed250_wholecount,task_only,l2_fixed250_linear,test,3,0.6141552511415526,0.5974354349354348,0.604174688830416,0.03236860017981247,0.033010431219686255,0.025774596358936266
234x234,f2_fixed250_wholecount,task_only,l2_fixed250_linear,train,3,0.9982788296041308,0.998362230694747,0.9983940158799074,0.0029811545741288874,0.002836699647774883,0.0027816460921491933
234x234,f2_fixed250_wholecount,task_only,l2_fixed250_linear,val,3,0.6534391534391535,0.6425324675324675,0.6489457759013816,0.009164289987136877,0.012060619479272769,0.011544762067589134
234x234,f2_fixed250_wholecount,task_only,l2_wholecount_linear,test,3,0.5136986301369864,0.5055456117956117,0.4993189994870211,0.04109589041095889,0.046503264467845876,0.03978205899624052
234x234,f2_fixed250_wholecount,task_only,l2_wholecount_linear,train,3,0.9919678714859438,0.9918083655895957,0.9921922488595029,0.013912054679268088,0.014188326995849645,0.013523421668195028
