contrast,rotation,probe,test_ba_delta
D1_minus_D2,2,l1__spike__fixed250_count,0.005669292127625458
D0_minus_D2,2,l1__spike__fixed250_count,0.04936367644700986
D0_minus_D1,2,l2__syn_current__whole_mean,-0.006102693602693554
D1_minus_D2,2,l2__syn_current__whole_mean,0.0158700096200096
D0_minus_D2,2,l2__syn_current__whole_mean,0.009767316017316044
D0_minus_D1,2,l2__syn_current__fixed250_ordered_mean,-0.03192189754689754
D1_minus_D2,2,l2__syn_current__fixed250_ordered_mean,0.006085658168991481
D0_minus_D2,2,l2__syn_current__fixed250_ordered_mean,-0.02583623937790606
D0_minus_D1,2,l2__pre_reset__whole_mean,-0.015943662818662812
D1_minus_D2,2,l2__pre_reset__whole_mean,0.008948613115279724
D0_minus_D2,2,l2__pre_reset__whole_mean,-0.006995049703383087
D0_minus_D1,2,l2__pre_reset__fixed250_ordered_mean,-0.034557379349046104
D1_minus_D2,2,l2__pre_reset__fixed250_ordered_mean,0.01922599005932339
D0_minus_D2,2,l2__pre_reset__fixed250_ordered_mean,-0.015331389289722719
D0_minus_D1,2,l2__spike__whole_mean,-0.03676998156164827
D1_minus_D2,2,l2__spike__whole_mean,0.04551817780984444
D0_minus_D2,2,l2__spike__whole_mean,0.008748196248196172
D0_minus_D1,2,l2__spike__fixed250_ordered_mean,-0.0336224346641014
D1_minus_D2,2,l2__spike__fixed250_ordered_mean,-0.01429272887606218
D0_minus_D2,2,l2__spike__fixed250_ordered_mean,-0.047915163540163584
D0_minus_D1,2,l2__post_reset__whole_mean,-0.05527497194163863
D1_minus_D2,2,l2__post_reset__whole_mean,0.003443662818662837
D0_minus_D2,2,l2__post_reset__whole_mean,-0.05183130912297579
D0_minus_D1,2,l2__post_reset__fixed250_ordered_mean,-0.03290394019560681
D1_minus_D2,2,l2__post_reset__fixed250_ordered_mean,0.02910904681738008
D0_minus_D2,2,l2__post_reset__fixed250_ordered_mean,-0.0037948933782267305
D0_minus_D1,2,l2__spike__whole_count,-0.03907477553310892
D1_minus_D2,2,l2__spike__whole_count,0.015286796536796562
D0_minus_D2,2,l2__spike__whole_count,-0.023787978996312353
D0_minus_D1,2,l2__spike__fixed250_count,-0.01581689915023256
D1_minus_D2,2,l2__spike__fixed250_count,0.029971340388007067
D0_minus_D2,2,l2__spike__fixed250_count,0.014154441237774503
D0_minus_D1,3,input__events__whole_count,-0.10071606634106645
D1_minus_D2,3,input__events__whole_count,0.04134742572242567
