contrast,architecture,training_family,source,regularization,metric,n,delta_mean,delta_std
local_linear_minus_e2e_wholecount,5x5,cross_family,deployment,task_plus_reg,macro_f1,3,0.19077486127373766,0.09469281285553587
pre_minus_post_output_probe,234x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,-0.02054794520547944,0.023726723391354513
pre_minus_post_output_probe,234x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,-0.013299894549894553,0.03558830593318714
pre_minus_post_output_probe,234x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,-0.00933071890985493,0.03249030809622488
pre_minus_post_output_probe,234x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.015981735159817306,0.05186217667397512
pre_minus_post_output_probe,234x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.012450512450512466,0.05434468254636324
pre_minus_post_output_probe,234x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.01181054347679585,0.06173912076311398
pre_minus_post_output_probe,34x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,0.06392694063926946,0.07387529537608876
pre_minus_post_output_probe,34x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,0.0633893883893884,0.07376929357971958
pre_minus_post_output_probe,34x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,0.06303343448269046,0.07092931034014274
pre_minus_post_output_probe,34x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.006849315068493215,0.029855472216032002
pre_minus_post_output_probe,34x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.0003330003330003402,0.03005198852341468
pre_minus_post_output_probe,34x234,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.0005813256643286321,0.03581458180896566
pre_minus_post_output_probe,34x34,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,0.027397260273972563,0.04166275705683713
pre_minus_post_output_probe,34x34,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,0.023021423021423015,0.053406129265947455
pre_minus_post_output_probe,34x34,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,0.028660960096904775,0.08138956732916536
pre_minus_post_output_probe,34x34,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.02283105022831052,0.007908907797118128
pre_minus_post_output_probe,34x34,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.013115125615125641,0.013787241741979369
pre_minus_post_output_probe,34x34,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.0032539445074009077,0.029902959769009568
pre_minus_post_output_probe,34x345,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,0.05022831050228308,0.0811386102461957
pre_minus_post_output_probe,34x345,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,0.048852073852073886,0.07848338900066831
pre_minus_post_output_probe,34x345,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,0.04982796969912234,0.07329071273490585
pre_minus_post_output_probe,34x345,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.07305936073059362,0.07323751110660019
pre_minus_post_output_probe,34x345,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.07869630369630366,0.07211881571657658
pre_minus_post_output_probe,34x345,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.08526968078933712,0.05803332655026306
pre_minus_post_output_probe,34x45,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,0.00913242009132422,0.06364091262450394
pre_minus_post_output_probe,34x45,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,0.015370971620971582,0.06628393637454341
