contrast,rotation,seed,coding,objective,l1_pre_reset_fixed250_ba_delta,l1_spike_fixed250_ba_delta,l2_pre_reset_fixed250_ba_delta,l2_spike_fixed250_ba_delta,l1_quantization_delta_delta,l1_to_l2_transform_delta_delta,l2_quantization_delta_delta,variant
Joint_minus_Baseline,0,23,bb,,-0.011312217194570096,-0.004729135243841109,-0.008632849993144176,-0.012048796791443883,0.006583081950728986,-0.0039037147493030666,-0.003415946798299707,original
L1TSCE_minus_Baseline,0,23,bb,,-0.018278943278943305,-0.00922202797202798,-0.018581602221308224,0.03715592006033175,0.009056915306915325,-0.009359574249280245,0.05573752228163997,original
Joint_minus_Baseline,0,23,mm,,-0.031680207047854125,0.028527212166918114,0.0781875599890306,0.0003849296128708435,0.06020741921477224,0.04966034782211248,-0.07780263037615975,original
L1TSCE_minus_Baseline,0,23,mm,,-0.029006410256410264,0.028223410576351693,0.0769180778371954,-0.03329119818090398,0.05722982083276196,0.048694667260843705,-0.11020927601809938,original
MM_minus_BB,0,23,,l2_wcce,-0.002538964303670177,-0.01824095022624439,-0.023150195392842465,0.039193690296631556,-0.015701985922574213,-0.004909245166598075,0.06234388568947402,postencode_mask
MM_minus_BB,0,23,,l1_l2_joint,0.022281639928698804,-0.010287547419900345,0.021538775766717033,0.09316239316239316,-0.03256918734859915,0.03182632318661738,0.07162361739567613,postencode_mask
MM_minus_BB,0,23,,l2_wcce_plus_0p1_l1_tsce,0.003524069884364045,-0.0023994183920654777,-0.04700197678138851,0.037286324786324765,-0.005923488276429523,-0.04460255838932303,0.08428830156771328,postencode_mask
Joint_minus_Baseline,0,23,bb,,-0.015016682663741565,0.010835875725581534,-0.0547948375154258,-0.030275892408245353,0.0258525583893231,-0.06563071324100733,0.024518945107180445,postencode_mask
L1TSCE_minus_Baseline,0,23,bb,,0.0006535947712418277,0.0387346313816902,-0.015887380593263,0.014182692307692313,0.03808103661044837,-0.0546220119749532,0.030070072900955314,postencode_mask
Joint_minus_Baseline,0,23,mm,,0.009803921568627416,0.01878927853192558,-0.0101058663558663,0.023692810457516256,0.008985356963298163,-0.02889514488779188,0.033798676813382555,postencode_mask
L1TSCE_minus_Baseline,0,23,mm,,0.00671662895927605,0.05457616321586911,-0.039739161981809046,0.012275326797385522,0.04785953425659306,-0.09431532519767816,0.05201448877919457,postencode_mask
MT_x_Joint,0,23,,,-0.02036798985328403,0.033256347410759224,0.08682040998217477,0.012433726404314727,0.053624337264043254,0.05356406257141555,-0.07438668357786005,original
MT_x_L1TSCE,0,23,,,-0.01072746697746696,0.03744543854837967,0.09549968005850362,-0.07044711824123573,0.04817290552584663,0.05805424151012395,-0.16594679829973935,original
MT_x_Joint,0,23,,,0.02482060423236898,0.007953402806344045,0.0446889711595595,0.05396870286576161,-0.016867201426024936,0.03673556835321545,0.00927973170620211,postencode_mask
MT_x_L1TSCE,0,23,,,0.006063034188034222,0.015841531834178912,-0.023851781388546045,-0.001907365510306791,0.00977849764614469,-0.03969331322272496,0.021944415878239254,postencode_mask
